"","Time","Int_med","Int_10","Int_90","CR_mL_ugC_d_med","CR_mL_ugC_d_10","CR_mL_ugC_d_90","CR_L_ugC_d_med","CR_L_ugC_d_10","CR_L_ugC_d_90","insitu_chla_ugL","insitu_chla_ugC_L","Date","Site","Zp_dens","Zp_bms","Zp_bms_ugC_L","Month2","Ind_wt_ugC","ZP_dens_exp_num_L","Zp_bms_exp_ugC_L","GR_ugC_L_d_med","GR_ugC_L_d_10","GR_ugC_L_d_90","per_SS_grazed_med","per_SS_grazed_10","per_SS_grazed_90","m_med","m_10","m_90","per_upot_med","per_upot_10","per_upot_90"
"1","EarlyAug",0.237297435022063,0.218341779701296,0.256368235279463,0.558452749135621,0.189706185254386,0.865412651516325,0.000558452749135621,0.000189706185254386,0.000865412651516325,56.39,1691.7,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,50.0219409431583,16.9924342033138,77.517069461321,2.95690376208301,1.00445907686433,4.58219953072773,0.0366459594503667,0.0124486184069759,0.0567888276750158,15.4430491197511,5.24599787849307,23.93149663406
"2","EarlySep",0.321883626153081,0.309104658154375,0.331557481598382,0.682531595038913,0.582128415301641,0.770101755514874,0.000682531595038913,0.000582128415301641,0.000770101755514874,30.96,928.8,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,101.008290778164,86.1495594788801,113.967855283514,10.8751389726705,9.27536170099915,12.2704409219976,0.0907830993109232,0.0774285353559731,0.10243075142395,28.2037021876188,24.0548226330561,31.8222932455832
