"","Time","Size","Filter","Int_med","Int_10","Int_90","CR_mL_ugC_d_med","CR_mL_ugC_d_10","CR_mL_ugC_d_90","CR_L_ugC_d_med","CR_L_ugC_d_10","CR_L_ugC_d_90","IC_BV_um3_mL","IC_BV_um3_L","Date","Site","Zp_dens","Zp_bms","Zp_bms_ugC_L","Month2","Ind_wt_ugC","ZP_dens_exp_num_L","Zp_bms_exp_ugC_L","IC_BV_ugC_L","CR_for_perPP_med","CR_for_perPP_10","CR_for_perPP_90","GR_ugC_L_d_med","GR_ugC_L_d_10","GR_ugC_L_d_90","per_SS_grazed_med","per_SS_grazed_10","per_SS_grazed_90","m_med","m_10","m_90","m_fld_med","m_fld_10","m_fld_90","per_upot_med","per_upot_10","per_upot_90","per_upot_fld_med","per_upot_fld_10","per_upot_fld_90"
"1","EarlyAug","Nano","Chl",0.0717261051506718,-0.173956507633629,0.423000648692671,7.86053181437811,4.8705027962098,11.3231956055871,0.00786053181437811,0.0048705027962098,0.0113231956055871,818785.127131213,818785127.131213,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,294.762645767237,0.00786053181437811,0.0048705027962098,0.0113231956055871,122.680385632961,76.0145974057995,176.722648835278,41.620058509665,25.7884092497343,59.9542212600537,0.515812180303302,0.319604923154308,0.743033976738728,0.41620058509665,0.257884092497343,0.599542212600537,719.141488611097,445.590796381496,1035.93241983218,580.263746682406,359.540075340237,835.877274168319
"2","EarlyAug","Nano","Dapi",0.007822922233399,-0.261968090591942,0.185308774330471,5.76764576664011,2.88434669461338,7.63986949096011,0.00576764576664011,0.00288434669461337,0.00763986949096011,1124104.30185329,1124104301.85329,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,404.677548667184,0.00576764576664011,0.00288434669461337,0.00763986949096011,123.582918319459,61.802682825484,163.698917283309,30.5386149358871,15.2720809516201,40.4516924209054,0.378475910836717,0.189272328187486,0.50133220403187,0.305386149358871,0.152720809516201,0.404516924209054,4838.03749474667,2419.45813265803,6408.50297464922,3903.73495028575,1952.22200809025,5170.91838753067
"3","EarlyAug","Nano","Hetero",-0.138911833484276,-0.4150790862389,0.182698580542128,1.74908768076007,-0.708938035569685,6.43585336091592,0.00174908768076007,-0.000708938035569685,0.00643585336091592,305319.174722078,305319174.722078,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,109.914902899948,0,0,0,10.1793235387284,-4.12587071097455,37.4553170371122,9.26109496543368,-3.75369545177162,34.0766502529749,0.114776042061713,-0.0465208821059991,0.422324040230224,0.0926109496543368,-0.0375369545177162,0.340766502529749,-82.6251005280305,33.4895026140915,-304.023084021872,-66.6688699813467,27.0221431653375,-245.311356118787
"4","EarlyAug","Pico","Chl",0.108806731633959,-0.0654564130480223,0.260705153484063,0.712834119377163,-1.04692250733907,2.2200516870317,0.000712834119377163,-0.00104692250733907,0.0022200516870317,768920.762102445,768920762.102445,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,276.81147435688,0,0,0,10.4477632764911,-15.344381291774,32.538530153338,3.7743244931463,-5.54326056296034,11.754762055632,0.046776545149014,-0.0686995986876353,0.145680944764988,0.037743244931463,-0.0554326056296034,0.11754762055632,42.9904882230787,-63.1391069798423,133.88964320248,34.6883362496693,-50.9459339483576,108.033408219416
"5","EarlyAug","Pico","Dapi",0.0335855230657789,-0.0135698229593709,0.0810098412882645,-0.33963040304133,-0.908678853417395,0.309475005962195,-0.00033963040304133,-0.000908678853417395,0.000309475005962195,1957887.69116019,1957887691.16019,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,704.839568817668,0,0,0,-12.6749890833921,-33.9118478329314,11.5495912233634,-1.79828001209605,-4.81128604766284,1.63861277577496,-0.0222867234465735,-0.0596279783155885,0.020307910627974,-0.0179828001209605,-0.0481128604766284,0.0163861277577496,-66.3581252044932,-177.540716572447,60.466262765061,-53.5433081859119,-143.254760041691,48.7892587697876
"6","EarlyAug","Pico","Hetero",-0.021406378018189,-0.102103659452829,0.0468320408266316,-0.799229646865272,-2.20145734489101,0.28451406044537,-0.000799229646865272,-0.00220145734489101,0.00028451406044537,1188966.92905774,1188966929.05774,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,428.028094460786,0,0,0,-18.1131764448449,-49.8922749928126,6.44802579346132,-4.23177279231243,-11.6563084616361,1.50644919735568,-0.0524458645353412,-0.14446077437609,0.0186699604188145,-0.0423177279231243,-0.116563084616361,0.0150644919735568,245.00111364369,674.849216683651,-87.2168117509215,197.687473738747,544.525022015951,-70.3738482089612
"7","EarlySep","Nano","Chl",-0.56283789016155,-0.647681037781914,-0.491072835877789,1.23171729639456,0.580215704153165,1.94367317695586,0.00123171729639456,0.000580215704153165,0.00194367317695586,840812.642923327,840812642.923327,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,302.692551452398,0.00123171729639456,0.000580215704153165,0.00194367317695586,59.4052502293425,27.983579668083,93.7426078038421,19.6256068886732,9.24488545681434,30.9695786546582,0.163829944949573,0.0771741268459388,0.25852675002027,0.196256068886732,0.0924488545681434,0.309695786546582,-29.107838653604,-13.7116082969801,-45.9327196230634,-34.8690222028942,-16.4254852390282,-55.023976167932
"8","EarlySep","Nano","Dapi",-0.356723245215242,-0.448845181824524,-0.269298164930564,2.54071444828611,1.80896874993428,3.22853202527084,0.00254071444828611,0.00180896874993428,0.00322853202527084,999559.341031847,999559341.031847,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,359.841362771465,0.00254071444828611,0.00180896874993428,0.00322853202527084,145.672976961849,103.718016486128,185.109299337093,40.4825548235727,28.8232613636468,51.4419181584348,0.337938835001924,0.240609798680862,0.429425019455617,0.404825548235727,0.288232613636468,0.514419181584348,-94.7341782557558,-67.4499915293384,-120.380442041703,-113.484487951286,-80.800064896963,-144.206801346504
"9","EarlySep","Nano","Hetero",-0.00833264334931672,-0.250198892563903,0.226757877229047,3.02927596332212,1.62768781078642,4.69086952751322,0.00302927596332212,0.00162768781078642,0.00469086952751322,158746.69810852,158746698.10852,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,57.1488113190672,0.00302927596332212,0.00162768781078642,0.00469086952751322,27.5840540948316,14.8214389068047,42.7142328283687,48.2670653302433,25.9348157288087,74.7421194640272,0.402922095647141,0.216497734680514,0.623929613319274,0.482670653302433,0.259348157288087,0.747421194640272,-4835.46551503588,-2598.18794114436,-7487.77533326728,-5792.52744979193,-3112.43559115433,-8969.7970176722
"10","EarlySep","Pico","Chl",0.143487243440852,0.0346609813099033,0.264639251660246,-1.11161545221399,-1.68307335930919,-0.650355421725626,-0.00111161545221399,-0.00168307335930919,-0.000650355421725626,933225.090304955,933225090.304955,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,335.961032509784,0,0,0,-59.5052847615081,-90.0956885051665,-34.8138238712827,-17.711960317831,-26.8173031354589,-10.3624588873321,-0.147855273993794,-0.22386453174673,-0.0865033666823127,-0.17711960317831,-0.268173031354589,-0.103624588873321,-103.044194346616,-156.017027282994,-60.2864509819445,-123.439268140461,-186.896775576524,-72.2186769976082
