"","Date","Site","Zp_dens","Zp_bms","Zp_bms_ugC_L","Month2","Time","Ind_wt_ugC","ZP_dens_exp_num_L","Zp_bms_exp_ugC_L"
"1",2021-04-06,"36-873",4.9837662591,29.2032454590888,14.0175578203626,NA,NA,2.81264350926723,NA,NA
"2",2021-04-19,"36-873",1.102005598,3.84489302123475,1.84554865019268,NA,NA,1.67471803550011,NA,NA
"3",2021-05-04,"36-873",5.414838139,14.9254829850617,7.16423183282961,NA,NA,1.32307405113917,NA,NA
"4",2021-05-17,"36-873",9.7883612515,20.1235995138849,9.65932776666474,NA,NA,0.986817662168376,NA,NA
"5",2021-06-03,"36-873",46.0637272254,308.856723095622,148.251227085899,NA,NA,3.21839408175706,NA,NA
"6",2021-06-29,"36-873",6.0409287991,18.3861096975442,8.82533265482119,NA,NA,1.4609231375374,NA,NA
"7",2021-07-14,"36-873",16.8844498337,36.1345029584313,17.344561420047,NA,NA,1.02725061170952,NA,NA
"8",2021-07-26,"36-873",11.698724375,34.754290448139,16.6820594151067,NA,NA,1.42597251464066,NA,NA
"9",2021-08-09,"36-873",30.2581492588,110.308637222059,52.9481458665883,"August","EarlyAug",1.7498805169384,37.5,65.6205193851901
"10",2021-08-24,"36-873",67.6149710347,172.379055854547,82.7419468101823,NA,NA,1.22372228434024,NA,NA
"11",2021-09-10,"36-873",83.8547850718,331.9485821767,159.335319444816,"September","EarlySep",1.90013389585802,70,133.009372710061
"12",2021-10-04,"36-873",44.1056175663,117.983024591739,56.6318518040348,NA,NA,1.28400541538513,NA,NA
