"","Time","Phyto_Grp","Int_med","Int_10","Int_90","CR_mL_ugC_d_med","CR_mL_ugC_d_10","CR_mL_ugC_d_90","CR_L_ugC_d_med","CR_L_ugC_d_10","CR_L_ugC_d_90","chl_ugL","C_conversion","Date","Site","Zp_dens","Zp_bms","Zp_bms_ugC_L","Month2","Ind_wt_ugC","ZP_dens_exp_num_L","Zp_bms_exp_ugC_L","chl_ugC_L","GR_ugC_L_d_med","GR_ugC_L_d_10","GR_ugC_L_d_90","per_SS_grazed_med","per_SS_grazed_10","per_SS_grazed_90","m_med","m_10","m_90","m_fld_med","m_fld_10","m_fld_90","per_upot_med","per_upot_10","per_upot_90","per_upot_fld_med","per_upot_fld_10","per_upot_fld_90"
"1","EarlyAug","Bluegreen",0.0814484377536931,0.0659768959967634,0.0918264758773113,1.3191411505419,0.989304678908677,1.63222326489467,0.0013191411505419,0.000989304678908677,0.00163222326489467,17.12,83,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,1420.96,99.2484830766017,74.4325113669115,122.8039039011,6.98460780575116,5.23818484453549,8.6423195516482,0.0865627274409367,0.0649186868601861,0.107107338394979,0.0698460780575116,0.0523818484453549,0.086423195516482,106.279174688052,79.7052572776235,131.503244689457,85.7549634883508,64.312895237797,106.107861488802
"2","EarlyAug","CryptoDiatoms",0.414684661968337,0.390519609844287,0.442477345618904,0,0,0,0.000360528032924067,-0.000239598565872573,0.000983560760444791,15.98,29,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,463.42,0,0,0,0,0,0,0.0236580367733982,-0.0157225823365049,0.0645417679472797,0.0190892908762576,-0.0126862998152464,0.0520777186126833,0,0,0,0,0,0
"3","EarlyAug","Green Algae",0.0581987380382279,0.0133392509259174,0.0990227102269273,0,0,0,-0.00675758435036519,-0.00760154614119005,-0.00588522869502692,3.26,44,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,143.44,0,0,0,0,0,0,-0.443436194860196,-0.498817405915379,-0.386191763668291,-0.35780156188891,-0.402487773895332,-0.311611947402516,0,0,0,0,0,0
"4","EarlySep","Bluegreen",-0.101767264195605,-0.122924666476377,-0.0832647277670257,0.697956662874666,0.538740338016098,0.802395099513187,0.000697956662874666,0.000538740338016098,0.000802395099513187,5.77,83,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,478.91,53.2591729909877,41.1098086540869,61.2285857922495,11.1209147837773,8.58403638556031,12.7849879501889,0.0928347779077668,0.0716575144131274,0.106726068851876,0.111209147837773,0.0858403638556031,0.127849879501889,-91.2226329768783,-70.4131284058062,-104.872691327085,-109.277918313712,-84.3496821243135,-125.629671301914
"5","EarlySep","CryptoDiatoms",0.560808177614396,0.537228018541633,0.593082068763703,1.15728813686359,0.984106485152639,1.36130322905597,0.00115728813686359,0.000984106485152639,0.00136130322905597,10.99,29,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,318.71,58.7691280238738,49.9746590091219,69.1293734026525,18.4396874976856,15.6802921179511,21.6903684862893,0.153930169129021,0.130895386270055,0.181066088564915,0.184396874976856,0.156802921179511,0.216903684862893,27.4479180713484,23.3404917215842,32.2866348588472,32.8805610077328,27.9601702397654,38.6769832397188
"6","EarlySep","Green Algae",0.935889434072165,0.87775403819094,1.01207907212961,0,0,0,-0.00436156923231629,-0.00481822950502562,-0.00378491978577661,1.34,44,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,58.96,0,0,0,0,0,0,-0.580129587621892,-0.640869684036565,-0.503429806464045,-0.694952026911797,-0.767714137341695,-0.603071403139721,0,0,0,0,0,0
