Name,Object,Area,EqDiameter,Perimeter,Length,Width,MaxFeret,MinFeret,Circularity,Elongation,MeanIntensity,SumIntensity,Unit,Channel
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,33,0.087365,0.333522,1.043893,0.411639,0.212238,0.411639,0.258,1,1.5955,3036.238095,63761,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,34,0.690602,0.937711,2.973558,1.048641,0.658568,1.048641,0.901452,0.981487,1.16328,3452.680723,573145,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,35,0.50339,0.800585,2.570839,0.912733,0.55152,0.912733,0.754276,0.957117,1.210079,3474.330579,420394,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,36,0.291218,0.608925,1.980324,0.76199,0.38218,0.76199,0.520579,0.933158,1.463734,3369.671429,235877,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,37,0.270416,0.586775,1.893845,0.728521,0.371185,0.728521,0.520579,0.947445,1.399442,3451.138462,224324,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,38,0.257936,0.573074,1.843187,0.728463,0.354082,0.728463,0.500952,0.954075,1.454157,3363.532258,208539,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,39,0.174731,0.471671,1.476288,0.584499,0.298941,0.584499,0.383756,1,1.523102,3462.619048,145430,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,40,0.886133,1.062196,3.355295,1.174119,0.754722,1.174119,1.022267,0.989117,1.148545,3482.539906,741781,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,41,1.942837,1.572799,5.52956,2.27071,0.855608,2.27071,1.192992,0.798482,1.903374,3479.297645,1624832,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,42,2.729124,1.864089,5.926134,2.114168,1.290874,2.114168,1.744764,0.97654,1.211722,3526.810976,2313588,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,44,0.33698,0.655024,2.066803,0.737603,0.456859,0.737603,0.637621,0.991326,1.156804,3374.62963,273345,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,45,0.615717,0.885412,2.815438,1.065804,0.577702,1.065804,0.774,0.976111,1.377008,3523.885135,521535,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,46,0.49507,0.793941,2.591822,1.023254,0.483819,1.023254,0.636176,0.926117,1.608444,3335.546218,396930,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,47,1.514331,1.388563,4.709283,1.806903,0.838081,1.806903,1.155466,0.858067,1.563787,3451.826923,1256465,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,48,0.790448,1.003209,3.146516,1.104498,0.715662,1.104498,0.9675,1,1.1416,3526.384211,670013,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,49,0.287057,0.60456,1.893845,0.722155,0.397501,0.722155,0.516,1,1.399525,3371.057971,232603,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,50,0.686441,0.934882,2.988396,1.128079,0.608504,1.128079,0.820569,0.965911,1.374752,3477.460606,573781,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,51,0.208013,0.514636,1.613425,0.59629,0.348845,0.59629,0.475023,1,1.255285,3385.16,169258,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,53,1.035902,1.148456,3.909989,1.393974,0.743129,1.393974,1.031355,0.851486,1.351595,3464.092369,862559,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,54,0.457628,0.763328,2.433702,0.904677,0.505846,0.904677,0.663944,0.970929,1.362581,3377.118182,371483,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,55,0.232974,0.544639,1.720887,0.672606,0.346375,0.672606,0.474972,0.988582,1.416097,3331.803571,186581,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,57,0.199692,0.504238,1.562767,0.584499,0.341646,0.584499,0.429409,1,1.361172,3391.729167,162803,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,59,0.32866,0.646887,2.051965,0.785352,0.418487,0.785352,0.576991,0.980881,1.361116,3407.101266,269161,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,60,0.112327,0.378178,1.30333,0.529481,0.212145,0.529481,0.325583,0.830968,1.626253,2761.296296,74555,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,61,0.594916,0.870328,2.743797,0.994487,0.598214,0.994487,0.748619,0.993028,1.328428,3425.41958,489835,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,62,0.270416,0.586775,1.843187,0.672606,0.402043,0.672606,0.566233,1,1.187862,3392.184615,220492,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,63,0.112327,0.378178,1.18103,0.456821,0.245888,0.456821,0.3225,1,1.4165,2967.222222,80115,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,64,0.453467,0.75985,2.433702,0.880064,0.515266,0.880064,0.7095,0.962102,1.2404,3134.302752,341639,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,65,2.691682,1.851258,6.02745,2.246554,1.198138,2.246554,1.706386,0.931036,1.316557,3251.727975,2103868,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,66,0.349461,0.667044,2.102623,0.737648,0.47375,0.737648,0.645,0.993312,1.14364,3231.785714,271470,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,67,0.482589,0.78387,2.505343,0.941203,0.512736,0.941203,0.645,0.966168,1.45923,3434.75,398431,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,68,0.137288,0.418092,1.353988,0.529493,0.259282,0.529493,0.338148,0.941052,1.565864,3003.787879,99125,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,69,0.370262,0.686609,2.138444,0.785416,0.471422,0.785416,0.645,1,1.2177,3469.011236,308742,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,70,0.557474,0.842495,2.693138,1.016391,0.548483,1.016391,0.748677,0.965866,1.357582,3448.425373,462089,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,71,0.153929,0.442706,1.389809,0.533989,0.288263,0.533989,0.387,1,1.379817,3134.756757,115986,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,72,0.985979,1.120441,3.66539,1.393232,0.707692,1.393232,0.952897,0.922226,1.462101,3409.476793,808046,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,73,0.295378,0.613259,1.929666,0.728463,0.405481,0.728463,0.566187,0.996836,1.286611,3410.197183,242124,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,74,1.077505,1.171291,3.960647,1.56466,0.688651,1.56466,0.981819,0.863171,1.593634,3472.930502,899489,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,75,0.287057,0.60456,1.944503,0.737603,0.389176,0.737603,0.559408,0.954028,1.31854,3475.753623,239827,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,76,0.15809,0.448649,1.46145,0.555487,0.284596,0.555487,0.380473,0.930133,1.459992,3105.789474,118020,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,77,0.191372,0.493621,1.562767,0.615562,0.310889,0.615562,0.429364,0.984689,1.433662,3203.282609,147351,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,78,0.424346,0.735047,2.815438,0.970454,0.437265,1.190606,0.532151,0.672725,2.237346,2803.901961,285998,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,79,3.814949,2.203938,7.092326,2.582154,1.477429,2.582154,1.959084,0.953062,1.318041,3700.775354,3393611,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,80,2.50031,1.784235,6.645094,2.170704,1.151843,2.819134,1.275075,0.711544,2.210956,3588.138103,2156471,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,81,0.17057,0.466022,1.425629,0.49705,0.343165,0.49705,0.4515,1,1.100886,3410.439024,139828,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,82,0.16641,0.460304,1.476288,0.555468,0.299585,0.555468,0.415238,0.959505,1.337709,3428.3,137132,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,83,0.245455,0.559037,2.138444,0.735495,0.333727,0.905354,0.387,0.674505,2.339417,2962.050847,174761,um,DAPI-UV
