,Date,Site,Taxa,Zp_dens,Zp_bms,tot_dens_numL,tot_bms_ugL,Type,per_dens,per_bms
64,8/9/2021,36-873,Skistodiaptomus pallidus,0,0,30.25814926,110.3086372,MESO,0,0
65,8/9/2021,36-873,Skistodiaptomus pygmaeus,0,0,30.25814926,110.3086372,MESO,0,0
66,8/9/2021,36-873,Skistodiaptomus reighardi,0,0,30.25814926,110.3086372,MESO,0,0
68,8/9/2021,36-873,Thermocyclops crassus,0,0,30.25814926,110.3086372,MESO,0,0
69,8/9/2021,36-873,Tropocyclops prasinus mexicanus,0,0,30.25814926,110.3086372,MESO,0,0
70,8/9/2021,36-873,Unidentified Daphniidae spp.,0,0,30.25814926,110.3086372,MESO,0,0
117,9/10/2021,36-873,Leptodiaptomus siciloides,15.22923227,105.6259031,83.85478507,331.9485822,MESO,18,32
100,9/10/2021,36-873,Diaphanosoma sp.,14.85320184,57.99576692,83.85478507,331.9485822,MESO,18,17
101,9/10/2021,36-873,Diaptomidae sp.,21.80976473,53.86786239,83.85478507,331.9485822,MESO,26,16
92,9/10/2021,36-873,Daphnia mendotae,5.264425969,37.78427104,83.85478507,331.9485822,MESO,6,11
122,9/10/2021,36-873,Mesocyclops edax,5.640456395,24.32351454,83.85478507,331.9485822,MESO,7,7
75,9/10/2021,36-873,Bosmina coregoni,6.956562887,20.59093193,83.85478507,331.9485822,MESO,8,6
84,9/10/2021,36-873,Cyclopidae sp.,6.392517248,9.632160898,83.85478507,331.9485822,MESO,8,3
76,9/10/2021,36-873,Bosmina longirostris,5.264425969,8.692594969,83.85478507,331.9485822,MESO,6,3
133,9/10/2021,36-873,Skistodiaptomus oregonensis,1.128091279,7.542214878,83.85478507,331.9485822,MESO,1,2
103,9/10/2021,36-873,Epischura lacustris,0.188015213,2.959795913,83.85478507,331.9485822,MESO,0,1
95,9/10/2021,36-873,Daphnia retrocurva,0.752060853,1.61668417,83.85478507,331.9485822,MESO,1,0
71,9/10/2021,36-873,Acanthocyclops vernalis,0.376030426,1.316881447,83.85478507,331.9485822,MESO,0,0
72,9/10/2021,36-873,Acroperus harpae,0,0,83.85478507,331.9485822,MESO,0,0
73,9/10/2021,36-873,Alona sp.,0,0,83.85478507,331.9485822,MESO,0,0
74,9/10/2021,36-873,Alonella sp.,0,0,83.85478507,331.9485822,MESO,0,0
77,9/10/2021,36-873,Bosminopsis deitersi,0,0,83.85478507,331.9485822,MESO,0,0
78,9/10/2021,36-873,Calanoida Immature,0,0,83.85478507,331.9485822,MESO,0,0
79,9/10/2021,36-873,Calanoida sp.,0,0,83.85478507,331.9485822,MESO,0,0
80,9/10/2021,36-873,Camptocercus sp.,0,0,83.85478507,331.9485822,MESO,0,0
81,9/10/2021,36-873,Ceriodaphnia sp.,0,0,83.85478507,331.9485822,MESO,0,0
82,9/10/2021,36-873,Chydoridae spp.,0,0,83.85478507,331.9485822,MESO,0,0
83,9/10/2021,36-873,Cladocera sp.,0,0,83.85478507,331.9485822,MESO,0,0
85,9/10/2021,36-873,Cyclopoida sp.,0,0,83.85478507,331.9485822,MESO,0,0
86,9/10/2021,36-873,Cyclops scutifer,0,0,83.85478507,331.9485822,MESO,0,0
87,9/10/2021,36-873,Cyclops strenuus,0,0,83.85478507,331.9485822,MESO,0,0
88,9/10/2021,36-873,Daphnia ambigua,0,0,83.85478507,331.9485822,MESO,0,0
89,9/10/2021,36-873,Daphnia laevis,0,0,83.85478507,331.9485822,MESO,0,0
90,9/10/2021,36-873,Daphnia longiremis,0,0,83.85478507,331.9485822,MESO,0,0
91,9/10/2021,36-873,Daphnia lumholtzi,0,0,83.85478507,331.9485822,MESO,0,0
93,9/10/2021,36-873,Daphnia parvula,0,0,83.85478507,331.9485822,MESO,0,0
94,9/10/2021,36-873,Daphnia pulex,0,0,83.85478507,331.9485822,MESO,0,0
96,9/10/2021,36-873,Daphnia rosea,0,0,83.85478507,331.9485822,MESO,0,0
97,9/10/2021,36-873,Daphnia schodleri,0,0,83.85478507,331.9485822,MESO,0,0
98,9/10/2021,36-873,Diacyclops nanus,0,0,83.85478507,331.9485822,MESO,0,0
99,9/10/2021,36-873,Diacyclops thomasi,0,0,83.85478507,331.9485822,MESO,0,0
102,9/10/2021,36-873,Ectocyclops phaleratus,0,0,83.85478507,331.9485822,MESO,0,0
104,9/10/2021,36-873,Eucyclops agilis,0,0,83.85478507,331.9485822,MESO,0,0
105,9/10/2021,36-873,Eucyclops elegans,0,0,83.85478507,331.9485822,MESO,0,0
106,9/10/2021,36-873,Eucyclops prionophorus,0,0,83.85478507,331.9485822,MESO,0,0
107,9/10/2021,36-873,Eucyclops sp.,0,0,83.85478507,331.9485822,MESO,0,0
108,9/10/2021,36-873,Eucyclops speratus,0,0,83.85478507,331.9485822,MESO,0,0
109,9/10/2021,36-873,Eurycercus lamellatus,0,0,83.85478507,331.9485822,MESO,0,0
110,9/10/2021,36-873,Eurytemora carolleeae,0,0,83.85478507,331.9485822,MESO,0,0
111,9/10/2021,36-873,Holopedium gibberum,0,0,83.85478507,331.9485822,MESO,0,0
112,9/10/2021,36-873,Ilyocryptus sp.,0,0,83.85478507,331.9485822,MESO,0,0
113,9/10/2021,36-873,Kurzia latissima,0,0,83.85478507,331.9485822,MESO,0,0
114,9/10/2021,36-873,Leptodiaptomus ashlandi,0,0,83.85478507,331.9485822,MESO,0,0
115,9/10/2021,36-873,Leptodiaptomus minutus,0,0,83.85478507,331.9485822,MESO,0,0
116,9/10/2021,36-873,Leptodiaptomus sicilis,0,0,83.85478507,331.9485822,MESO,0,0
